Customer Name,Phone Number,Talked Minutes (Monthly),Internet Minutes,Start Subscription
Cynthia Wong MD,050-5380527,231,944,2022-09-14
Chad Reed,053-5250617,166,217,2022-11-28
James Murphy,051-7292166,483,437,2021-04-06
John Dean,054-2952436,435,817,2021-01-06
Nancy Bright,052-8402824,208,770,2022-10-10
Melinda Ruiz,051-3102790,434,903,2022-02-23
Kristin Huber,054-8068151,499,592,2023-01-18
Jesus Burke,052-8352627,48,467,2020-10-19
Joanna Buchanan,051-3167949,342,919,2023-12-17
Christian Lewis,052-3069795,277,740,2023-04-11
Amanda Meyer,050-8200916,355,390,2023-02-03
Aaron Melendez,050-8270179,553,871,2023-01-29
Sierra Morgan,054-6460585,590,614,2023-04-17
Timothy Frost,050-5915117,324,429,2020-02-28
Keith Lee,052-7653726,256,795,2022-10-28
Evelyn Elliott,051-6233404,369,705,2022-10-17
Chad Carter,053-9294578,25,350,2020-10-06
Matthew Mills,052-7974129,670,571,2022-07-08
Jeffrey Hicks,050-8469039,250,99,2022-05-07
Janice Palmer,051-8678768,472,105,2021-10-04
Diana Scott,051-8932363,134,519,2021-04-26
Lacey Henry,051-7222641,58,104,2023-06-20
Angela Waters,054-5779698,553,201,2020-10-19
Lisa Alvarado,052-1692691,162,389,2021-07-28
Jessica Pittman,053-9160566,170,899,2023-03-23
Ryan Aguirre,050-4964995,520,372,2023-11-07
Alison Moore,050-6467180,105,579,2020-11-29
Sarah Martin,051-6973566,24,91,2023-04-12
Gregory Stevens,052-7378700,30,858,2022-08-09
Jennifer Zavala,053-8258482,591,202,2020-06-29
Ryan Aguirre,050-4964995,520,372,2023-11-07
John Dean,054-2952436,435,817,2021-01-06
Evelyn Elliott,051-6233404,369,705,2022-10-17
Alison Moore,050-6467180,105,579,2020-11-29
Jessica Pittman,053-9160566,170,899,2023-03-23
